_index,col_start_dt,col_end_dt,subscriberid.x,simserial.x,deviceid.x,col_ward,col_neighborhood,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_sample_type,col_sample_type_fp,col_sample_type_fp/144,col_sample_type_fp/145,col_sample_type_fp/142,col_sample_type_fp/143,col_sample_type_fp/141,col_sample_type_fp/149,col_sample_type_co,col_sample_type_co/151,col_sample_type_co/159,col_sample_type_co/152,col_id,col_id_val,col_start,col_weather,col_rainyest,col_rainweek,col_rainmon,col_fpa_id,col_fpa,col_fpa/1,col_fpa/3,col_fpa/2,col_fpa/4,col_fpa/88,col_fpa_other,col_fpa1,col_fpa1/88,col_fpa1/1,col_fpa1/3,col_fpa1/2,col_fpa1/5,col_fpa1/4,col_fpa1/6,col_fpa1_other,col_pfb_id,col_fpb,col_fpb/1,col_fpb/3,col_fpb/2,col_fpb/4,col_fpb/88,col_fpb_other,col_fpc_id,col_fpc,col_fpc/1,col_fpc/3,col_fpc/2,col_fpc/88,col_fpc_other,col_fpc1,col_fpc1/88,col_fpc1/1,col_fpc1/3,col_fpc1/2,col_fpc1/5,col_fpc1/4,col_fpc1/6,col_fpc1_other,col_fpd_id,col_fpd_type,col_fpd_type_other,col_fpd_container,col_fpd_container_lid,col_fpd_id_001,col_fpd_cl_free,col_fpd_cl_total,col_fpe_id,col_fpe,col_fpe/88,col_fpe/1,col_fpe/3,col_fpe/2,col_fpe/5,col_fpe/4,col_fpe_other,col_fpe1,col_fpe1/1,col_fpe1/3,col_fpe1/2,col_fpe1/88,col_fpe1_other,col_coa_id,col_coa_floor,col_coa_floorother,col_coa_dirt,col_coa_child,col_cob_nr,col_cob_note1,col_cob_ids,col_cob,col_cob_other,col_cob1,col_cob1_other,col_cob_col2,col_cob_ids2,col_cob2,col_cob_other2,col_cob12,col_cob1_other2,col_cob_col3,col_cob_ids3,col_cob3,col_cob_other3,col_cob13,col_cob1_other3,col_animals,col_animaltype,col_animaltype/10,col_animaltype/88,col_animaltype/1,col_animaltype/3,col_animaltype/2,col_animaltype/5,col_animaltype/4,col_animaltype/7,col_animaltype/6,col_animaltype/9,col_animaltype/8,col_animalother,col_animalnr,col_close,col_notes,col_enum,col_photo,__version__.x,_id.x,_uuid.x,_submission_time.x,col_cob_col4,col_cob_ids4,col_cob4,col_cob_other4,col_cob14,col_cob1_other4,col_id_so,lab_start_dt,subscriberid.y,simserial.y,deviceid.y,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,sampleid,lab_id_val,lab_received,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_da_weight,lab_pa_weight,lab_1_note,lab_1_dil_tested,lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_dil_tested,lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_dil_tested,lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_closing,lab_notes,lab_enum,lab_photo,__version__.y,_id.y,_uuid.y,_submission_time.y,_index.y,lab_1_ecoli,lab_2_ecoli,lab_3_ecoli,sample_type,ec_dil1,ec_dil2,ec_dil3,ec_ecnt1,ec_ecnt2,ec_ecnt3,ec_denom,count1,count2,dil1,dil2,count3,dil3,ec_conc,neighbor
101,2020-02-13T12:34:37.327+05:30,2020-02-14T15:20:18.722+05:30,NA,NA,352155091473740,58,2,22.5509846 88.3967661 -52.400001525878906 5.0,22.5509846,88.3967661,-52.40000153,5,14,141,0,0,0,0,1,0,NA,NA,NA,NA,2072,2072,2020-02-13T12:35:00.000+05:30,1,0,1,NA,FPa2003,1 3,1,1,0,0,0,NA,4 5,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7970,079f93d1-d2e1-4d13-966c-260027ab628e,2020-02-14T09:51:50,NA,NA,NA,NA,NA,NA,FPA2003,2020-02-20T12:38:34.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/20 00:00:00,2020-02-20T12:40:11.000+06:30,58,2,14,141,NA,FPA2003,FPa2003,2020-02-13T14:07:00.000+06:30,2020-02-13T14:30:00.000+06:30,2020-02-13T16:30:00.000+06:30,2020-02-14T16:30:00.000+06:30,NA,NA,NA,NA,NA,6,1,3,1,5,1,3,0,0,NA,NA,NA,NA,NA,Red colony count: 1:10^1 - 4; 1:10^2 - 0; Each sample vol tested 1ml,6,1,vWNdHeMtQ9ziuCJ2zngErs,8135,47beabbc-6bab-492a-8c04-76e7ea67a8a2,2020-02-20T07:06:11,793,1,0,NA,141,0.1,0.01,NA,1,0,NA,20,1,0,0.1,0.01,NA,NA,200,2
102,2020-02-13T12:37:00.705+05:30,2020-02-14T15:20:49.166+05:30,NA,NA,352155091473740,58,2,22.550949 88.3966657 -47.099998474121094 5.0,22.550949,88.3966657,-47.09999847,5,14,143,0,0,0,1,0,0,NA,NA,NA,NA,2072,2072,2020-02-13T12:39:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPc2003,1,1,0,0,0,NA,3,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7971,c10d3503-52d6-4553-875a-2bb534f28d69,2020-02-14T09:51:54,NA,NA,NA,NA,NA,NA,FPC2003,2020-02-20T12:40:12.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/20 00:00:00,2020-02-20T12:41:29.000+06:30,58,2,14,143,NA,FPC2003,FPc2003,2020-02-13T14:07:00.000+06:30,2020-02-13T14:30:00.000+06:30,2020-02-13T16:30:00.000+06:30,2020-02-14T16:30:00.000+06:30,NA,NA,NA,NA,NA,6,1,3,5,5,1,3,1,0,NA,NA,NA,NA,NA,Red colony count: 1:10^1 - 101; 1:10^2 - 13; Each sample vol tested 1ml,6,1,vWNdHeMtQ9ziuCJ2zngErs,8136,145f659e-e132-4417-b710-d582f95f797c,2020-02-20T07:07:29,794,5,1,NA,143,0.1,0.01,NA,5,1,NA,20,5,1,0.1,0.01,NA,NA,1500,2
103,2020-02-13T12:38:31.585+05:30,2020-02-14T15:21:01.858+05:30,NA,NA,352155091473740,58,2,22.5509319 88.3967745 -52.900001525878906 4.5,22.5509319,88.3967745,-52.90000153,4.5,14,144,1,0,0,0,0,0,NA,NA,NA,NA,2072,2072,2020-02-13T12:43:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPd2003,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7972,a67d5009-e1a5-462a-8057-1807c4e97bbb,2020-02-14T09:51:59,NA,NA,NA,NA,NA,NA,FPD2003,2020-02-20T12:33:51.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/20 00:00:00,2020-02-20T12:35:28.000+06:30,58,2,14,144,NA,FPD2003,FPd2003,2020-02-13T14:07:00.000+06:30,2020-02-13T14:30:00.000+06:30,2020-02-13T16:30:00.000+06:30,2020-02-14T16:30:00.000+06:30,NA,NA,NA,NA,NA,7,100,3,1,7,10,3,0,1,6,1,3,0,NA,"Red colony count: Undiluted 100ml - 32, Undiluted 10ml - 4, 1:10^1 - 0 sample vol tested 1ml,",4,1,vWNdHeMtQ9ziuCJ2zngErs,8132,7ef66c94-efd5-41ff-a804-94c7307d5817,2020-02-20T07:01:28,790,1,0,0,144,100,10,0.1,1,0,0,100,1,0,100,10,0,0.1,1,2
104,2020-02-13T12:40:27.015+05:30,2020-02-14T15:20:34.001+05:30,NA,NA,352155091473740,58,2,22.5509797 88.396646 -51.29999923706055 5.0,22.5509797,88.396646,-51.29999924,5,14,142,0,0,1,0,0,0,NA,NA,NA,NA,2072,2072,2020-02-13T12:46:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPb2003,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7973,8e2e4059-d8b2-47b7-8880-0d962bbf9127,2020-02-14T09:52:03,NA,NA,NA,NA,NA,NA,FPB2003,2020-02-20T12:35:28.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/20 00:00:00,2020-02-20T12:37:08.000+06:30,58,2,14,142,NA,FPB2003,FPb2003,2020-02-13T14:07:00.000+06:30,2020-02-13T14:30:00.000+06:30,2020-02-13T16:30:00.000+06:30,2020-02-14T16:30:00.000+06:30,NA,NA,NA,NA,NA,7,100,3,0,7,10,3,0,1,6,1,3,0,NA,"Red colony count: Undiluted 100ml - 152, Undiluted 10ml - 22, 1:10^1 - 07 sample vol tested 1ml",4,1,vWNdHeMtQ9ziuCJ2zngErs,8133,112f7b18-6390-4c05-aeb0-a2b486b9d8d8,2020-02-20T07:03:08,791,0,0,0,142,100,10,0.1,0,0,0,100,0,0,100,10,0,0.1,0.5,2
105,2020-02-13T12:41:47.094+05:30,2020-02-14T15:21:15.634+05:30,NA,NA,352155091473740,58,2,22.5509703 88.3966468 -51.70000076293945 5.0,22.5509703,88.3966468,-51.70000076,5,14,145,0,1,0,0,0,0,NA,NA,NA,NA,2072,2072,2020-02-13T12:49:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPe2003,2 4,0,0,0,1,0,1,NA,3,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7974,74869319-bacf-4aa4-a10f-6ea2bd0bf0ec,2020-02-14T09:52:07,NA,NA,NA,NA,NA,NA,FPE2003,2020-02-20T12:37:09.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/20 00:00:00,2020-02-20T12:38:33.000+06:30,58,2,14,145,NA,FPE2003,FPe2003,2020-02-13T14:07:00.000+06:30,2020-02-13T14:30:00.000+06:30,2020-02-13T16:30:00.000+06:30,2020-02-14T16:30:00.000+06:30,NA,NA,NA,NA,NA,7,100,3,1,7,10,3,0,1,6,1,3,0,NA,"Red colony count: Undiluted 100ml - 138, Undiluted 10ml - 11, 1:10^1 - 5 sample vol tested 1ml,",4,1,vWNdHeMtQ9ziuCJ2zngErs,8134,b8ee10c1-f3bd-458a-8a6c-9ecbae24eede,2020-02-20T07:04:33,792,1,0,0,145,100,10,0.1,1,0,0,100,1,0,100,10,0,0.1,1,2
107,2020-02-13T11:20:43.896+05:30,2020-02-14T15:22:34.894+05:30,NA,NA,352155091473740,58,2,22.5504404 88.3965627 -61.79999923706055 5.0,22.5504404,88.3965627,-61.79999924,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,2074,2074,2020-02-13T11:23:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA2007,2,NA,0,0,NA,NA,COB2019,88,Linen,88,Bed Cover,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7976,5cc50625-20de-4c65-a304-8a6016a9f557,2020-02-14T09:52:43,NA,NA,NA,NA,NA,NA,NA,2020-02-20T12:44:34.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/20 00:00:00,2020-02-20T12:45:51.000+06:30,58,2,15,NA,152,COB2019,COb2019,2020-02-13T14:07:00.000+06:30,2020-02-13T14:30:00.000+06:30,2020-02-13T16:30:00.000+06:30,2020-02-14T16:30:00.000+06:30,NA,NA,NA,NA,NA,6,1,3,0,5,1,3,0,0,NA,NA,NA,NA,NA,Red colony count: 1:10^1 - 20; 1:10^2 - 2; Each sample vol tested 1ml,6,1,vWNdHeMtQ9ziuCJ2zngErs,8139,9f591f5f-2e35-4f52-a6e4-cbf7b9d723a4,2020-02-20T07:11:51,797,0,0,NA,151,0.1,0.01,NA,0,0,NA,20,0,0,0.1,0.01,NA,NA,100,2
107,2020-02-13T11:20:43.896+05:30,2020-02-14T15:22:34.894+05:30,NA,NA,352155091473740,58,2,22.5504404 88.3965627 -61.79999923706055 5.0,22.5504404,88.3965627,-61.79999924,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,2074,2074,2020-02-13T11:23:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA2007,2,NA,0,0,NA,NA,COB2019,88,Linen,88,Bed Cover,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7976,5cc50625-20de-4c65-a304-8a6016a9f557,2020-02-14T09:52:43,NA,NA,NA,NA,NA,NA,NA,2020-02-20T12:43:06.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/20 00:00:00,2020-02-20T12:44:34.000+06:30,58,2,15,NA,151,COA2007,COa2007,2020-02-13T14:07:00.000+06:30,2020-02-13T14:30:00.000+06:30,2020-02-13T16:30:00.000+06:30,2020-02-14T16:30:00.000+06:30,NA,NA,NA,NA,NA,6,1,3,32,5,1,3,3,0,NA,NA,NA,NA,NA,Red colony count: 1:10^1 - TNTC; 1:10^2 - 46; Each sample vol tested 1ml,6,1,vWNdHeMtQ9ziuCJ2zngErs,8138,db39a49f-d465-4324-9261-0f1743f5d327,2020-02-20T07:10:33,796,32,3,NA,151,0.1,0.01,NA,32,3,NA,20,32,3,0.1,0.01,NA,NA,6400,2
108,2020-02-20T11:10:45.883+05:30,2020-02-20T15:23:19.200+05:30,NA,NA,352155091473740,58,2,22.5517692 88.3961316 -27.700000762939453 5.0,22.5517692,88.3961316,-27.70000076,5,14,141,0,0,0,0,1,0,NA,NA,NA,NA,2005,2005,2020-02-20T11:16:00.000+05:30,1,0,0,1,FPa2004,1,1,0,0,0,0,NA,5,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,8179,27c9bc85-c5c4-472b-8c01-ac01ad84e462,2020-02-20T09:54:14,NA,NA,NA,NA,NA,NA,FPA2004,2020-02-26T12:23:50.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/26 00:00:00,2020-02-26T12:25:31.000+06:30,58,2,14,141,NA,FPA2004,FPa2004,2020-02-20T14:15:00.000+06:30,2020-02-20T15:45:00.000+06:30,2020-02-20T16:30:00.000+06:30,2020-02-21T16:30:00.000+06:30,NA,NA,NA,NA,NA,6,1,3,40,5,1,3,8,1,4,1,3,0,NA,"Red colony count: 1:10^1 - TNTC; 1:10^2 - 55; 1:10^3 - 3, Each sample vol tested 1ml",6,1,vWNdHeMtQ9ziuCJ2zngErs,8312,4ae6e61d-f8fe-4224-9dc3-efa8a2690123,2020-02-26T06:51:25,833,40,8,0,141,0.1,0.01,0.001,40,8,0,20,40,8,0.1,0.01,0,0.001,8000,2
109,2020-02-20T11:17:52.835+05:30,2020-02-20T15:23:27.871+05:30,NA,NA,352155091473740,58,2,22.5518628 88.3961998 -54.79999923706055 5.0,22.5518628,88.3961998,-54.79999924,5,14,143,0,0,0,1,0,0,NA,NA,NA,NA,2005,2005,2020-02-20T11:21:00.000+05:30,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPc2004,1,1,0,0,0,NA,4,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,8180,1de249ef-daa8-4dd5-9d58-8aa6563e29aa,2020-02-20T09:54:17,NA,NA,NA,NA,NA,NA,FPC2004,2020-02-26T12:25:31.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/26 00:00:00,2020-02-26T12:26:47.000+06:30,58,2,14,143,NA,FPC2004,FPc2004,2020-02-20T14:15:00.000+06:30,2020-02-20T15:45:00.000+06:30,2020-02-20T16:30:00.000+06:30,2020-02-21T16:30:00.000+06:30,NA,NA,NA,NA,NA,6,1,3,4,5,1,3,1,1,4,1,3,0,NA,"Red colony count: 1:10^1 - TNTC; 1:10^2 - 75; 1:10^3 - 0, Each sample vol tested 1ml",6,1,vWNdHeMtQ9ziuCJ2zngErs,8313,854349f8-aa14-4501-9f65-c04c0d5ef2f5,2020-02-26T06:52:41,834,4,1,0,143,0.1,0.01,0.001,4,1,0,20,4,1,0.1,0.01,0,0.001,1400,2
110,2020-02-20T11:20:21.747+05:30,2020-02-20T15:23:32.297+05:30,NA,NA,352155091473740,58,2,22.5518327 88.3961716 -47.79999923706055 5.0,22.5518327,88.3961716,-47.79999924,5,14,144,1,0,0,0,0,0,NA,NA,NA,NA,2005,2005,2020-02-20T11:26:00.000+05:30,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPd2004,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,8181,d2ec36b0-bae8-4778-aecf-3fe8143397d3,2020-02-20T09:54:20,NA,NA,NA,NA,NA,NA,FPD2004,2020-02-26T12:21:00.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020/02/26 00:00:00,2020-02-26T12:22:26.000+06:30,58,2,14,144,NA,FPD2004,FPd2004,2020-02-20T14:15:00.000+06:30,2020-02-20T15:45:00.000+06:30,2020-02-20T16:30:00.000+06:30,2020-02-21T16:30:00.000+06:30,NA,NA,NA,NA,NA,7,100,3,0,7,10,3,0,1,6,1,3,0,NA,"Red colony count: Undiluted 100ml - 17, Undiluted 10ml - 1, 1:10^1 - 0 sample vol tested 1ml",6,1,vWNdHeMtQ9ziuCJ2zngErs,8310,5dd542b0-d6ac-4d62-9f19-dd15e0ac428c,2020-02-26T06:48:21,831,0,0,0,144,100,10,0.1,0,0,0,100,0,0,100,10,0,0.1,0.5,2
